===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Cores                         ;names_CHAR18_Common_EU              ;names_CHAR18_Common_JP              ;names_CHAR18_Common_US              ;names_CHAR18_Manufacturer_EU        ;names_CHAR18_Manufacturer_JP        ;names_CHAR18_Manufacturer_US        ;names_CHAR28_Common_EU                                  ;names_CHAR28_Common_JP                                  ;names_CHAR28_Common_US                                  ;names_CHAR28_Manufacturer_EU                            ;names_CHAR28_Manufacturer_JP                            ;names_CHAR28_Manufacturer_US                            ;names_CHAR54_Manufacturer_EU                                                                                
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
Jupiter                       ;Jupiter Ace                         ;Jupiter:18_Common_EU                ;Jupiter:18_Common_EU                ;Jupiter:18_Common_EU                ;Jupiter:18_Common_EU                ;Jupiter:18_Common_EU                ;Jupiter:18_Common_EU                                    ;Jupiter:18_Common_EU                                    ;Jupiter:18_Common_EU                                    ;Jupiter:18_Common_EU                                    ;Jupiter:18_Common_EU                                    ;Jupiter:18_Common_EU                                    ;Jupiter:18_Common_EU                                                                                        
KC87                          ;Robotron KC 87                      ;KC87:18_Common_EU                   ;KC87:18_Common_EU                   ;KC87:18_Common_EU                   ;KC87:18_Common_EU                   ;KC87:18_Common_EU                   ;KC87:18_Common_EU                                       ;KC87:18_Common_EU                                       ;KC87:18_Common_EU                                       ;KC87:18_Common_EU                                       ;KC87:18_Common_EU                                       ;KC87:18_Common_EU                                       ;KC87:18_Common_EU                                                                                           
Laser310                      ;Laser 350/500/700                   ;Laser310:18_Common_EU               ;Laser310:18_Common_EU               ;VTech Laser 350                     ;Laser310:18_Manufacturer_EU         ;Laser310:18_Manufacturer_EU         ;Laser310:18_Common_EU                                   ;Laser310:18_Common_EU                                   ;Laser310:18_Common_EU                                   ;VTech Laser 350/500/700                                 ;Laser310:28_Manufacturer_EU                             ;Laser310:28_Manufacturer_EU                             ;Laser310:28_Manufacturer_EU                                                                                 
Lynx48                        ;Lynx 48/96K                         ;Lynx48:18_Common_EU                 ;Lynx48:18_Common_EU                 ;Camp. Lynx 48/96K                   ;Lynx48:18_Manufacturer_EU           ;Lynx48:18_Manufacturer_EU           ;Lynx48:18_Common_EU                                     ;Lynx48:18_Common_EU                                     ;Lynx48:18_Common_EU                                     ;Camputers Lynx 48/96K                                   ;Lynx48:28_Manufacturer_EU                               ;Lynx48:28_Manufacturer_EU                               ;Lynx48:28_Manufacturer_EU                                                                                   
MacPlus                       ;Macintosh Plus                      ;MacPlus:18_Common_EU                ;MacPlus:18_Common_EU                ;Apple Mac Plus                      ;MacPlus:18_Manufacturer_EU          ;MacPlus:18_Manufacturer_EU          ;MacPlus:18_Common_EU                                    ;MacPlus:18_Common_EU                                    ;MacPlus:18_Common_EU                                    ;Apple Macintosh Plus                                    ;MacPlus:28_Manufacturer_EU                              ;MacPlus:28_Manufacturer_EU                              ;MacPlus:28_Manufacturer_EU                                                                                  
Memotech-MTX                  ;Memotech MTX                        ;Memotech-MTX:18_Common_EU           ;Memotech-MTX:18_Common_EU           ;Memotech-MTX:18_Common_EU           ;Memotech-MTX:18_Common_EU           ;Memotech-MTX:18_Common_EU           ;Memotech-MTX:18_Common_EU                               ;Memotech-MTX:18_Common_EU                               ;Memotech-MTX:18_Common_EU                               ;Memotech-MTX:18_Common_EU                               ;Memotech-MTX:18_Common_EU                               ;Memotech-MTX:18_Common_EU                               ;Memotech-MTX:18_Common_EU                                                                                   
Minimig                       ;Amiga                               ;Minimig:18_Common_EU                ;Minimig:18_Common_EU                ;Comm. Amiga                         ;Minimig:18_Manufacturer_EU          ;Minimig:18_Manufacturer_EU          ;Minimig:18_Common_EU                                    ;Minimig:18_Common_EU                                    ;Minimig:18_Common_EU                                    ;Commodore Amiga                                         ;Minimig:28_Manufacturer_EU                              ;Minimig:28_Manufacturer_EU                              ;Minimig:28_Manufacturer_EU                                                                                  
mister_coco                   ;TRS-80 CoCo 3                       ;mister_coco:18_Common_EU            ;mister_coco:18_Common_EU            ;Tandy TRS-80 CoCo3                  ;mister_coco:18_Manufacturer_EU      ;mister_coco:18_Manufacturer_EU      ;Tandy TRS-80 Color Comp. 3                              ;mister_coco:28_Common_EU                                ;mister_coco:28_Common_EU                                ;mister_coco:28_Common_EU                                ;mister_coco:28_Common_EU                                ;mister_coco:28_Common_EU                                ;mister_coco:28_Common_EU                                                                                    
MSX                           ;MSX                                 ;MSX:18_Common_EU                    ;MSX:18_Common_EU                    ;MSX:18_Common_EU                    ;MSX:18_Common_EU                    ;MSX:18_Common_EU                    ;MSX/MSX2/MSX2+/TurboR                                   ;MSX:28_Common_EU                                        ;MSX:28_Common_EU                                        ;MSX:28_Common_EU                                        ;MSX:28_Common_EU                                        ;MSX:28_Common_EU                                        ;MSX:28_Common_EU                                                                                            
