===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Cores                         ;names_CHAR18_Common_EU              ;names_CHAR18_Common_JP              ;names_CHAR18_Common_US              ;names_CHAR18_Manufacturer_EU        ;names_CHAR18_Manufacturer_JP        ;names_CHAR18_Manufacturer_US        ;names_CHAR28_Common_EU                                  ;names_CHAR28_Common_JP                                  ;names_CHAR28_Common_US                                  ;names_CHAR28_Manufacturer_EU                            ;names_CHAR28_Manufacturer_JP                            ;names_CHAR28_Manufacturer_US                            ;names_CHAR54_Manufacturer_EU                                                                                
jtsarms                       ;Capcom - Hyper Dyne Side Arms       ;jtsarms:18_Common_EU                ;jtsarms:18_Common_EU                ;jtsarms:18_Common_EU                ;jtsarms:18_Common_EU                ;jtsarms:18_Common_EU                ;jtsarms:18_Common_EU                                    ;jtsarms:18_Common_EU                                    ;jtsarms:18_Common_EU                                    ;jtsarms:18_Common_EU                                    ;jtsarms:18_Common_EU                                    ;jtsarms:18_Common_EU                                    ;jtsarms:18_Common_EU                                                                                        
jtsbask1                      ;Konami - Super Basketball -version I-;jtsbask1:18_Common_EU               ;jtsbask1:18_Common_EU               ;jtsbask1:18_Common_EU               ;jtsbask1:18_Common_EU               ;jtsbask1:18_Common_EU               ;jtsbask1:18_Common_EU                                   ;jtsbask1:18_Common_EU                                   ;jtsbask1:18_Common_EU                                   ;jtsbask1:18_Common_EU                                   ;jtsbask1:18_Common_EU                                   ;jtsbask1:18_Common_EU                                   ;jtsbask1:18_Common_EU                                                                                       
jtsbaskt                      ;Konami - Super Basketball -version H-;jtsbaskt:18_Common_EU               ;jtsbaskt:18_Common_EU               ;jtsbaskt:18_Common_EU               ;jtsbaskt:18_Common_EU               ;jtsbaskt:18_Common_EU               ;jtsbaskt:18_Common_EU                                   ;jtsbaskt:18_Common_EU                                   ;jtsbaskt:18_Common_EU                                   ;jtsbaskt:18_Common_EU                                   ;jtsbaskt:18_Common_EU                                   ;jtsbaskt:18_Common_EU                                   ;jtsbaskt:18_Common_EU                                                                                       
jtslyspy                      ;Data East - Sly Spy: Secret Agent   ;Data East - Secret Agent            ;Data East - Sly Spy                 ;jtslyspy:18_Common_EU               ;jtslyspy:18_Common_JP               ;jtslyspy:18_Common_US               ;jtslyspy:18_Common_EU                                   ;jtslyspy:18_Common_JP                                   ;jtslyspy:18_Common_US                                   ;jtslyspy:18_Common_EU                                   ;jtslyspy:18_Common_JP                                   ;jtslyspy:18_Common_US                                   ;jtslyspy:18_Common_EU                                                                                       
jtsf                          ;Capcom - Street Fighter             ;jtsf:18_Common_EU                   ;jtsf:18_Common_EU                   ;jtsf:18_Common_EU                   ;jtsf:18_Common_EU                   ;jtsf:18_Common_EU                   ;jtsf:18_Common_EU                                       ;jtsf:18_Common_EU                                       ;jtsf:18_Common_EU                                       ;jtsf:18_Common_EU                                       ;jtsf:18_Common_EU                                       ;jtsf:18_Common_EU                                       ;jtsf:18_Common_EU                                                                                           
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
jtsectionz                    ;Capcom - Section Z                  ;jtsectionz:18_Common_EU             ;jtsectionz:18_Common_EU             ;jtsectionz:18_Common_EU             ;jtsectionz:18_Common_EU             ;jtsectionz:18_Common_EU             ;jtsectionz:18_Common_EU                                 ;jtsectionz:18_Common_EU                                 ;jtsectionz:18_Common_EU                                 ;jtsectionz:18_Common_EU                                 ;jtsectionz:18_Common_EU                                 ;jtsectionz:18_Common_EU                                 ;jtsectionz:18_Common_EU                                                                                     
jttora                        ;Capcom - Tiger Road                 ;Capcom - Tora e no Michi            ;jttora:18_Common_EU                 ;jttora:18_Common_EU                 ;jttora:18_Common_JP                 ;jttora:18_Common_EU                 ;jttora:18_Common_EU                                     ;jttora:18_Common_JP                                     ;jttora:18_Common_EU                                     ;jttora:18_Common_EU                                     ;jttora:18_Common_JP                                     ;jttora:18_Common_EU                                     ;jttora:18_Common_EU                                                                                         
jttrojan                      ;Capcom - Trojan                     ;Capcom - Tatakai no Banka           ;jttrojan:18_Common_EU               ;jttrojan:18_Common_EU               ;jttrojan:18_Common_JP               ;jttrojan:18_Common_EU               ;jttrojan:18_Common_EU                                   ;jttrojan:18_Common_JP                                   ;jttrojan:18_Common_EU                                   ;jttrojan:18_Common_EU                                   ;jttrojan:18_Common_JP                                   ;jttrojan:18_Common_EU                                   ;jttrojan:18_Common_EU                                                                                       
jtvigil                       ;Irem - Vigilante                    ;jtvigil:18_Common_EU                ;jtvigil:18_Common_EU                ;jtvigil:18_Common_EU                ;jtvigil:18_Common_EU                ;jtvigil:18_Common_EU                ;jtvigil:18_Common_EU                                    ;jtvigil:18_Common_EU                                    ;jtvigil:18_Common_EU                                    ;jtvigil:18_Common_EU                                    ;jtvigil:18_Common_EU                                    ;jtvigil:18_Common_EU                                    ;jtvigil:18_Common_EU                                                                                        
jtvulgus                      ;Capcom - Vulgus                     ;jtvulgus:18_Common_EU               ;jtvulgus:18_Common_EU               ;jtvulgus:18_Common_EU               ;jtvulgus:18_Common_EU               ;jtvulgus:18_Common_EU               ;jtvulgus:18_Common_EU                                   ;jtvulgus:18_Common_EU                                   ;jtvulgus:18_Common_EU                                   ;jtvulgus:18_Common_EU                                   ;jtvulgus:18_Common_EU                                   ;jtvulgus:18_Common_EU                                   ;jtvulgus:18_Common_EU                                                                                       
jtyiear                       ;Konami - Yie Ar Kung-Fu             ;jtyiear:18_Common_EU                ;jtyiear:18_Common_EU                ;jtyiear:18_Common_EU                ;jtyiear:18_Common_EU                ;jtyiear:18_Common_EU                ;jtyiear:18_Common_EU                                    ;jtyiear:18_Common_EU                                    ;jtyiear:18_Common_EU                                    ;jtyiear:18_Common_EU                                    ;jtyiear:18_Common_EU                                    ;jtyiear:18_Common_EU                                    ;jtyiear:18_Common_EU                                                                                        
LadyBug                       ;Universal - Lady Bug                ;LadyBug:18_Common_EU                ;LadyBug:18_Common_EU                ;LadyBug:18_Common_EU                ;LadyBug:18_Common_EU                ;LadyBug:18_Common_EU                ;LadyBug:18_Common_EU                                    ;LadyBug:18_Common_EU                                    ;LadyBug:18_Common_EU                                    ;LadyBug:18_Common_EU                                    ;LadyBug:18_Common_EU                                    ;LadyBug:18_Common_EU                                    ;LadyBug:18_Common_EU                                                                                        
LunarLander                   ;Atari - Lunar Lander                ;LunarLander:18_Common_EU            ;LunarLander:18_Common_EU            ;LunarLander:18_Common_EU            ;LunarLander:18_Common_EU            ;LunarLander:18_Common_EU            ;LunarLander:18_Common_EU                                ;LunarLander:18_Common_EU                                ;LunarLander:18_Common_EU                                ;LunarLander:18_Common_EU                                ;LunarLander:18_Common_EU                                ;LunarLander:18_Common_EU                                ;LunarLander:18_Common_EU                                                                                    
MarioBros                     ;Nintendo - Mario Bros.              ;Nintendo - Mario Brothers           ;MarioBros:18_Common_EU              ;Nint.- Mario Bros                   ;MarioBros:18_Common_JP              ;MarioBros:18_Common_EU              ;MarioBros:18_Common_EU                                  ;MarioBros:18_Common_JP                                  ;MarioBros:18_Common_EU                                  ;MarioBros:18_Common_EU                                  ;MarioBros:18_Common_JP                                  ;MarioBros:18_Common_EU                                  ;MarioBros:18_Common_EU                                                                                      
MCR1                          ;Bally Midway MCR-1                  ;MCR1:18_Common_EU                   ;MCR1:18_Common_EU                   ;Bally MCR-1                         ;MCR1:18_Common_EU                   ;MCR1:18_Common_EU                   ;MCR1:18_Common_EU                                       ;MCR1:18_Common_EU                                       ;MCR1:18_Common_EU                                       ;MCR1:18_Common_EU                                       ;MCR1:18_Common_EU                                       ;MCR1:18_Common_EU                                       ;MCR1:18_Common_EU                                                                                           
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
MCR2                          ;Bally Midway MCR-2                  ;MCR2:18_Common_EU                   ;MCR2:18_Common_EU                   ;Bally MCR-2                         ;MCR2:18_Common_EU                   ;MCR2:18_Common_EU                   ;MCR2:18_Common_EU                                       ;MCR2:18_Common_EU                                       ;MCR2:18_Common_EU                                       ;MCR2:18_Common_EU                                       ;MCR2:18_Common_EU                                       ;MCR2:18_Common_EU                                       ;MCR2:18_Common_EU                                                                                           
MCR3                          ;Bally Midway MCR-3                  ;MCR3:18_Common_EU                   ;MCR3:18_Common_EU                   ;Bally MCR-3                         ;MCR3:18_Common_EU                   ;MCR3:18_Common_EU                   ;MCR3:18_Common_EU                                       ;MCR3:18_Common_EU                                       ;MCR3:18_Common_EU                                       ;MCR3:18_Common_EU                                       ;MCR3:18_Common_EU                                       ;MCR3:18_Common_EU                                       ;MCR3:18_Common_EU                                                                                           
MCR3Mono                      ;Bally Midway MCR-3 Monoboard        ;MCR3Mono:18_Common_EU               ;MCR3Mono:18_Common_EU               ;Bally MCR-3 Mono.                   ;MCR3Mono:18_Common_EU               ;MCR3Mono:18_Common_EU               ;MCR3Mono:18_Common_EU                                   ;MCR3Mono:18_Common_EU                                   ;MCR3Mono:18_Common_EU                                   ;MCR3Mono:18_Common_EU                                   ;MCR3Mono:18_Common_EU                                   ;MCR3Mono:18_Common_EU                                   ;MCR3Mono:18_Common_EU                                                                                       
MCR3Scroll                    ;Bally Midway MCR-3 Scroll           ;MCR3Scroll:18_Common_EU             ;MCR3Scroll:18_Common_EU             ;Bally MCR-3 Scroll                  ;MCR3Scroll:18_Common_EU             ;MCR3Scroll:18_Common_EU             ;MCR3Scroll:18_Common_EU                                 ;MCR3Scroll:18_Common_EU                                 ;MCR3Scroll:18_Common_EU                                 ;MCR3Scroll:18_Common_EU                                 ;MCR3Scroll:18_Common_EU                                 ;MCR3Scroll:18_Common_EU                                 ;MCR3Scroll:18_Common_EU                                                                                     
MissileCommand                ;Atari - Missile Command             ;MissileCommand:18_Common_EU         ;MissileCommand:18_Common_EU         ;MissileCommand:18_Common_EU         ;MissileCommand:18_Common_EU         ;MissileCommand:18_Common_EU         ;MissileCommand:18_Common_EU                             ;MissileCommand:18_Common_EU                             ;MissileCommand:18_Common_EU                             ;MissileCommand:18_Common_EU                             ;MissileCommand:18_Common_EU                             ;MissileCommand:18_Common_EU                             ;MissileCommand:18_Common_EU                                                                                 
MoonPatrol                    ;Irem - Moon Patrol                  ;MoonPatrol:18_Common_EU             ;MoonPatrol:18_Common_EU             ;MoonPatrol:18_Common_EU             ;MoonPatrol:18_Common_EU             ;MoonPatrol:18_Common_EU             ;MoonPatrol:18_Common_EU                                 ;MoonPatrol:18_Common_EU                                 ;MoonPatrol:18_Common_EU                                 ;MoonPatrol:18_Common_EU                                 ;MoonPatrol:18_Common_EU                                 ;MoonPatrol:18_Common_EU                                 ;MoonPatrol:18_Common_EU                                                                                     
MrDo                          ;Universal - Mr. Do!                 ;MrDo:18_Common_EU                   ;MrDo:18_Common_EU                   ;Univer - Mr. Do!                    ;MrDo:18_Common_EU                   ;MrDo:18_Common_EU                   ;MrDo:18_Common_EU                                       ;MrDo:18_Common_EU                                       ;MrDo:18_Common_EU                                       ;MrDo:18_Common_EU                                       ;MrDo:18_Common_EU                                       ;MrDo:18_Common_EU                                       ;MrDo:18_Common_EU                                                                                           
MysticMarathon                ;Williams Elect. - Mystic Marathon   ;MysticMarathon:18_Common_EU         ;MysticMarathon:18_Common_EU         ;MysticMarathon:18_Common_EU         ;MysticMarathon:18_Common_EU         ;MysticMarathon:18_Common_EU         ;MysticMarathon:18_Common_EU                             ;MysticMarathon:18_Common_EU                             ;MysticMarathon:18_Common_EU                             ;MysticMarathon:18_Common_EU                             ;MysticMarathon:18_Common_EU                             ;MysticMarathon:18_Common_EU                             ;MysticMarathon:18_Common_EU                                                                                 
nemesis                       ;Konami - Nemesis                    ;Konami - Gradius                    ;nemesis:18_Common_EU                ;nemesis:18_Common_EU                ;nemesis:18_Common_JP                ;nemesis:18_Common_EU                ;nemesis:18_Common_EU                                    ;nemesis:18_Common_JP                                    ;nemesis:18_Common_EU                                    ;nemesis:18_Common_EU                                    ;nemesis:18_Common_JP                                    ;nemesis:18_Common_EU                                    ;nemesis:18_Common_EU                                                                                        
NinjaKun                      ;UPL - Ninja Kun                     ;UPL - Ninja-kun: Majou no Bouken    ;NinjaKun:18_Common_EU               ;NinjaKun:18_Common_EU               ;NinjaKun:18_Common_JP               ;NinjaKun:18_Common_EU               ;NinjaKun:18_Common_EU                                   ;NinjaKun:18_Common_JP                                   ;NinjaKun:18_Common_EU                                   ;NinjaKun:18_Common_EU                                   ;NinjaKun:18_Common_JP                                   ;NinjaKun:18_Common_EU                                   ;NinjaKun:18_Common_EU                                                                                       

===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Cores                         ;names_CHAR18_Common_EU              ;names_CHAR18_Common_JP              ;names_CHAR18_Common_US              ;names_CHAR18_Manufacturer_EU        ;names_CHAR18_Manufacturer_JP        ;names_CHAR18_Manufacturer_US        ;names_CHAR28_Common_EU                                  ;names_CHAR28_Common_JP                                  ;names_CHAR28_Common_US                                  ;names_CHAR28_Manufacturer_EU                            ;names_CHAR28_Manufacturer_JP                            ;names_CHAR28_Manufacturer_US                            ;names_CHAR54_Manufacturer_EU                                                                                
===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
Pacman                        ;Namco - Pac-Man                     ;Namco - Puck Man                    ;Pacman:18_Common_EU                 ;Pacman:18_Common_EU                 ;Pacman:18_Common_JP                 ;Pacman:18_Common_EU                 ;Pacman:18_Common_EU                                     ;Pacman:18_Common_JP                                     ;Pacman:18_Common_EU                                     ;Pacman:18_Common_EU                                     ;Pacman:18_Common_JP                                     ;Pacman:18_Common_EU                                     ;Pacman:18_Common_EU                                                                                         
Pengo                         ;Coreland - Pengo                    ;Pengo:18_Common_EU                  ;Pengo:18_Common_EU                  ;Pengo:18_Common_EU                  ;Pengo:18_Common_EU                  ;Pengo:18_Common_EU                  ;Pengo:18_Common_EU                                      ;Pengo:18_Common_EU                                      ;Pengo:18_Common_EU                                      ;Pengo:18_Common_EU                                      ;Pengo:18_Common_EU                                      ;Pengo:18_Common_EU                                      ;Pengo:18_Common_EU                                                                                          
PenguinKunWars                ;UPL - Penguin-Kun Wars              ;PenguinKunWars:18_Common_EU         ;PenguinKunWars:18_Common_EU         ;PenguinKunWars:18_Common_EU         ;PenguinKunWars:18_Common_EU         ;PenguinKunWars:18_Common_EU         ;PenguinKunWars:18_Common_EU                             ;PenguinKunWars:18_Common_EU                             ;PenguinKunWars:18_Common_EU                             ;PenguinKunWars:18_Common_EU                             ;PenguinKunWars:18_Common_EU                             ;PenguinKunWars:18_Common_EU                             ;PenguinKunWars:18_Common_EU                                                                                 
Phoenix                       ;Centuri - Phoenix                   ;Phoenix:18_Common_EU                ;Phoenix:18_Common_EU                ;Phoenix:18_Common_EU                ;Phoenix:18_Common_EU                ;Phoenix:18_Common_EU                ;Phoenix:18_Common_EU                                    ;Phoenix:18_Common_EU                                    ;Phoenix:18_Common_EU                                    ;Phoenix:18_Common_EU                                    ;Phoenix:18_Common_EU                                    ;Phoenix:18_Common_EU                                    ;Phoenix:18_Common_EU                                                                                        
Pleiads                       ;Centuri - Pleiades                  ;Pleiads:18_Common_EU                ;Pleiads:18_Common_EU                ;Pleiads:18_Common_EU                ;Pleiads:18_Common_EU                ;Pleiads:18_Common_EU                ;Pleiads:18_Common_EU                                    ;Pleiads:18_Common_EU                                    ;Pleiads:18_Common_EU                                    ;Pleiads:18_Common_EU                                    ;Pleiads:18_Common_EU                                    ;Pleiads:18_Common_EU                                    ;Pleiads:18_Common_EU                                                                                        
PolyPlay                      ;VEB Polytechnik - Poly-Play         ;PolyPlay:18_Common_EU               ;PolyPlay:18_Common_EU               ;VOB - Poly Play                     ;PolyPlay:18_Common_EU               ;PolyPlay:18_Common_EU               ;PolyPlay:18_Common_EU                                   ;PolyPlay:18_Common_EU                                   ;PolyPlay:18_Common_EU                                   ;PolyPlay:18_Common_EU                                   ;PolyPlay:18_Common_EU                                   ;PolyPlay:18_Common_EU                                   ;PolyPlay:18_Common_EU                                                                                       
Pong                          ;Atari - Pong                        ;Pong:18_Common_EU                   ;Pong:18_Common_EU                   ;Pong:18_Common_EU                   ;Pong:18_Common_EU                   ;Pong:18_Common_EU                   ;Pong:18_Common_EU                                       ;Pong:18_Common_EU                                       ;Pong:18_Common_EU                                       ;Pong:18_Common_EU                                       ;Pong:18_Common_EU                                       ;Pong:18_Common_EU                                       ;Pong:18_Common_EU                                                                                           
Pooyan                        ;Stern Elect. - Pooyan               ;Pooyan:18_Common_EU                 ;Pooyan:18_Common_EU                 ;Stern - Electronics Pooyan          ;Pooyan:18_Common_EU                 ;Pooyan:18_Common_EU                 ;Pooyan:18_Common_EU                                     ;Pooyan:18_Common_EU                                     ;Pooyan:18_Common_EU                                     ;Pooyan:18_Common_EU                                     ;Stern Elec. - Pooyan                                    ;Pooyan:18_Common_EU                                     ;Pooyan:18_Common_EU                                                                                         
Popeye                        ;Nintendo - Popeye                   ;Popeye:18_Common_EU                 ;Popeye:18_Common_EU                 ;Popeye:18_Common_EU                 ;Popeye:18_Common_EU                 ;Popeye:18_Common_EU                 ;Popeye:18_Common_EU                                     ;Popeye:18_Common_EU                                     ;Popeye:18_Common_EU                                     ;Popeye:18_Common_EU                                     ;Popeye:18_Common_EU                                     ;Popeye:18_Common_EU                                     ;Popeye:18_Common_EU                                                                                         
prehisle                      ;SNK Prehistoric Isle in 1930        ;SNK Genshi-Tou 1930's               ;prehisle:18_Common_EU               ;prehisle:18_Common_EU               ;prehisle:18_Common_JP               ;prehisle:18_Common_EU               ;prehisle:18_Common_EU                                   ;prehisle:18_Common_JP                                   ;prehisle:18_Common_EU                                   ;prehisle:18_Common_EU                                   ;prehisle:18_Common_JP                                   ;prehisle:18_Common_EU                                   ;prehisle:18_Common_EU                                                                                       
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
QBert                         ;Gottlieb - Q'Bert                   ;QBert:18_Common_EU                  ;QBert:18_Common_EU                  ;Gottl.- Q'Bert                      ;QBert:18_Common_EU                  ;QBert:18_Common_EU                  ;QBert:18_Common_EU                                      ;QBert:18_Common_EU                                      ;QBert:18_Common_EU                                      ;QBert:18_Common_EU                                      ;QBert:18_Common_EU                                      ;QBert:18_Common_EU                                      ;QBert:18_Common_EU                                                                                          
RallyX                        ;Namco - Rally-X                     ;RallyX:18_Common_EU                 ;RallyX:18_Common_EU                 ;RallyX:18_Common_EU                 ;RallyX:18_Common_EU                 ;RallyX:18_Common_EU                 ;RallyX:18_Common_EU                                     ;RallyX:18_Common_EU                                     ;RallyX:18_Common_EU                                     ;RallyX:18_Common_EU                                     ;RallyX:18_Common_EU                                     ;RallyX:18_Common_EU                                     ;RallyX:18_Common_EU                                                                                         
RiverPatrol                   ;Orca - River Patrol                 ;RiverPatrol:18_Common_EU            ;RiverPatrol:18_Common_EU            ;RiverPatrol:18_Common_EU            ;RiverPatrol:18_Common_EU            ;RiverPatrol:18_Common_EU            ;RiverPatrol:18_Common_EU                                ;RiverPatrol:18_Common_EU                                ;RiverPatrol:18_Common_EU                                ;RiverPatrol:18_Common_EU                                ;RiverPatrol:18_Common_EU                                ;RiverPatrol:18_Common_EU                                ;RiverPatrol:18_Common_EU                                                                                    
Robotron                      ;Vid Kidz - Robotron: 1984           ;Robotron:18_Common_EU               ;Robotron:18_Common_EU               ;Robotron:18_Common_EU               ;Robotron:18_Common_EU               ;Robotron:18_Common_EU               ;Robotron:18_Common_EU                                   ;Robotron:18_Common_EU                                   ;Robotron:18_Common_EU                                   ;Robotron:18_Common_EU                                   ;Robotron:18_Common_EU                                   ;Robotron:18_Common_EU                                   ;Robotron:18_Common_EU                                                                                       
RshnAtk                       ;Konami - Green Beret                ;RshnAtk:18_Common_EU                ;Konami - Rush'n Attack              ;RshnAtk:18_Common_EU                ;RshnAtk:18_Common_EU                ;RshnAtk:18_Common_US                ;RshnAtk:18_Common_EU                                    ;RshnAtk:18_Common_EU                                    ;RshnAtk:18_Common_US                                    ;RshnAtk:18_Common_EU                                    ;RshnAtk:18_Common_EU                                    ;RshnAtk:18_Common_US                                    ;RshnAtk:18_Common_EU                                                                                        
ScooterShooter                ;Konami - Scooter Shooter            ;ScooterShooter:18_Common_EU         ;ScooterShooter:18_Common_EU         ;ScooterShooter:18_Common_EU         ;ScooterShooter:18_Common_EU         ;ScooterShooter:18_Common_EU         ;ScooterShooter:18_Common_EU                             ;ScooterShooter:18_Common_EU                             ;ScooterShooter:18_Common_EU                             ;ScooterShooter:18_Common_EU                             ;ScooterShooter:18_Common_EU                             ;ScooterShooter:18_Common_EU                             ;ScooterShooter:18_Common_EU                                                                                 
Scramble                      ;Konami - Scramble                   ;Scramble:18_Common_EU               ;Scramble:18_Common_EU               ;Scramble:18_Common_EU               ;Scramble:18_Common_EU               ;Scramble:18_Common_EU               ;Scramble:18_Common_EU                                   ;Scramble:18_Common_EU                                   ;Scramble:18_Common_EU                                   ;Scramble:18_Common_EU                                   ;Scramble:18_Common_EU                                   ;Scramble:18_Common_EU                                   ;Scramble:18_Common_EU                                                                                       
SEGASYS1                      ;SEGA System 1                       ;SEGASYS1:18_Common_EU               ;SEGASYS1:18_Common_EU               ;SEGASYS1:18_Common_EU               ;SEGASYS1:18_Common_EU               ;SEGASYS1:18_Common_EU               ;SEGASYS1:18_Common_EU                                   ;SEGASYS1:18_Common_EU                                   ;SEGASYS1:18_Common_EU                                   ;SEGASYS1:18_Common_EU                                   ;SEGASYS1:18_Common_EU                                   ;SEGASYS1:18_Common_EU                                   ;SEGASYS1:18_Common_EU                                                                                       
SilverLand                    ;Falcon - Silver Land                ;SilverLand:18_Common_EU             ;SilverLand:18_Common_EU             ;SilverLand:18_Common_EU             ;SilverLand:18_Common_EU             ;SilverLand:18_Common_EU             ;SilverLand:18_Common_EU                                 ;SilverLand:18_Common_EU                                 ;SilverLand:18_Common_EU                                 ;SilverLand:18_Common_EU                                 ;SilverLand:18_Common_EU                                 ;SilverLand:18_Common_EU                                 ;SilverLand:18_Common_EU                                                                                     
SnapJack                      ;Universal - Snap Jack               ;SnapJack:18_Common_EU               ;SnapJack:18_Common_EU               ;SnapJack:18_Common_EU               ;SnapJack:18_Common_EU               ;SnapJack:18_Common_EU               ;SnapJack:18_Common_EU                                   ;SnapJack:18_Common_EU                                   ;SnapJack:18_Common_EU                                   ;SnapJack:18_Common_EU                                   ;SnapJack:18_Common_EU                                   ;SnapJack:18_Common_EU                                   ;SnapJack:18_Common_EU                                                                                       
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
SNK68                         ;SNK 68000                           ;SNK68:18_Common_EU                  ;SNK68:18_Common_EU                  ;SNK68:18_Common_EU                  ;SNK68:18_Common_EU                  ;SNK68:18_Common_EU                  ;SNK68:18_Common_EU                                      ;SNK68:18_Common_EU                                      ;SNK68:18_Common_EU                                      ;SNK68:18_Common_EU                                      ;SNK68:18_Common_EU                                      ;SNK68:18_Common_EU                                      ;SNK68:18_Common_EU                                                                                          
SNK_TripleZ80                 ;SNK Triple Z80                      ;SNK_TripleZ80:18_Common_EU          ;SNK_TripleZ80:18_Common_EU          ;SNK_TripleZ80:18_Common_EU          ;SNK_TripleZ80:18_Common_EU          ;SNK_TripleZ80:18_Common_EU          ;SNK_TripleZ80:18_Common_EU                              ;SNK_TripleZ80:18_Common_EU                              ;SNK_TripleZ80:18_Common_EU                              ;SNK_TripleZ80:18_Common_EU                              ;SNK_TripleZ80:18_Common_EU                              ;SNK_TripleZ80:18_Common_EU                              ;SNK_TripleZ80:18_Common_EU                                                                                  
snowbro2                      ;Toaplan - Snow Bros 2: With New Elves;Toaplan - Snow Bros 2: Otenki Paradise;snowbro2:18_Common_EU               ;snowbro2:18_Common_EU               ;snowbro2:18_Common_JP               ;snowbro2:18_Common_EU               ;snowbro2:18_Common_EU                                   ;snowbro2:18_Common_JP                                   ;snowbro2:18_Common_EU                                   ;snowbro2:18_Common_EU                                   ;snowbro2:18_Common_JP                                   ;snowbro2:18_Common_EU                                   ;snowbro2:18_Common_EU                                                                                       
SolomonsKey                   ;Tecmo - Solomon's Key               ;Tecmo - Solomon no Kagi             ;SolomonsKey:18_Common_EU            ;SolomonsKey:18_Common_EU            ;SolomonsKey:18_Common_JP            ;SolomonsKey:18_Common_EU            ;SolomonsKey:18_Common_EU                                ;SolomonsKey:18_Common_JP                                ;SolomonsKey:18_Common_EU                                ;SolomonsKey:18_Common_EU                                ;SolomonsKey:18_Common_JP                                ;SolomonsKey:18_Common_EU                                ;SolomonsKey:18_Common_EU                                                                                    
SpaceInvaders                 ;Taito - Space Invaders              ;SpaceInvaders:18_Common_EU          ;SpaceInvaders:18_Common_EU          ;SpaceInvaders:18_Common_EU          ;SpaceInvaders:18_Common_EU          ;SpaceInvaders:18_Common_EU          ;SpaceInvaders:18_Common_EU                              ;SpaceInvaders:18_Common_EU                              ;SpaceInvaders:18_Common_EU                              ;SpaceInvaders:18_Common_EU                              ;SpaceInvaders:18_Common_EU                              ;SpaceInvaders:18_Common_EU                              ;SpaceInvaders:18_Common_EU                                                                                  
SpaceRace                     ;Atari - Space Race                  ;SpaceRace:18_Common_EU              ;SpaceRace:18_Common_EU              ;SpaceRace:18_Common_EU              ;SpaceRace:18_Common_EU              ;SpaceRace:18_Common_EU              ;SpaceRace:18_Common_EU                                  ;SpaceRace:18_Common_EU                                  ;SpaceRace:18_Common_EU                                  ;SpaceRace:18_Common_EU                                  ;SpaceRace:18_Common_EU                                  ;SpaceRace:18_Common_EU                                  ;SpaceRace:18_Common_EU                                                                                      
Sprint1                       ;Atari - Sprint 1                    ;Sprint1:18_Common_EU                ;Sprint1:18_Common_EU                ;Sprint1:18_Common_EU                ;Sprint1:18_Common_EU                ;Sprint1:18_Common_EU                ;Sprint1:18_Common_EU                                    ;Sprint1:18_Common_EU                                    ;Sprint1:18_Common_EU                                    ;Sprint1:18_Common_EU                                    ;Sprint1:18_Common_EU                                    ;Sprint1:18_Common_EU                                    ;Sprint1:18_Common_EU                                                                                        
Sprint2                       ;Atari - Sprint 2                    ;Sprint2:18_Common_EU                ;Sprint2:18_Common_EU                ;Sprint2:18_Common_EU                ;Sprint2:18_Common_EU                ;Sprint2:18_Common_EU                ;Sprint2:18_Common_EU                                    ;Sprint2:18_Common_EU                                    ;Sprint2:18_Common_EU                                    ;Sprint2:18_Common_EU                                    ;Sprint2:18_Common_EU                                    ;Sprint2:18_Common_EU                                    ;Sprint2:18_Common_EU                                                                                        
Subs                          ;Atari - Subs                        ;Subs:18_Common_EU                   ;Subs:18_Common_EU                   ;Subs:18_Common_EU                   ;Subs:18_Common_EU                   ;Subs:18_Common_EU                   ;Subs:18_Common_EU                                       ;Subs:18_Common_EU                                       ;Subs:18_Common_EU                                       ;Subs:18_Common_EU                                       ;Subs:18_Common_EU                                       ;Subs:18_Common_EU                                       ;Subs:18_Common_EU                                                                                           
